,target,text
5002,0,You still around? Looking to pick up later
93,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
1799,0,"If we hit it off, you can move in with me :)"
4202,0,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
4187,0,Dear got bus directly to calicut
218,0,I have to take exam with march 3
1779,1,"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
5003,1,CDs 4u: Congratulations ur awarded Â£500 of CD gift vouchers or Â£125 gift guaranteed & Freeentry 2 Â£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
3476,0,"I can probably come by, everybody's done around  &lt;#&gt;  right?"
2663,1,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
2125,0,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
3099,0,Ok... I din get ur msg...
4670,0,"I didnt get ur full msg..sometext is missing, send it again"
1550,0,He says hi and to get your ass back to south tampa (preferably at a kegger)
1352,0,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
5216,0,Well thats nice. Too bad i cant eat it
4621,0,"Received, understood n acted upon!"
3971,1,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
4306,0,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
1022,0,We still on for tonight?
1638,0,Great comedy..cant stop laughing da:)
1417,0,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
1546,0,Shant disturb u anymore... Jia you...
2229,0,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
1145,1,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
549,0,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
3250,0,"Babe, I need your advice"
4040,0,I'm at home n ready...
3090,0,Am going to take bath ill place the key in window:-)
711,0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
2558,0,"Some friends want me to drive em someplace, probably take a while"
2368,0,If you r @ home then come down within 5 min
